DATA_ODCZYTU;ZUZYCIE_BIEZACE;JEDNOSTKA;DATA_POPRZEDNIEGO_ODCZYTU;ODCZYT_BIEZACY;ODCZYT_POPRZEDNI;STREFA_EC;ADRES_PPE;TYP_ODCZYTU;NUMER_LICZNIKA;PUNKT_POBORU;SKLADNIK
09.04.2022;0;kVarh;09.02.2022;179 kVarh;179 kVarh;I;  WESTERPLATTE 48,  33-300 NOWY S¥CZ;Odczyt systemowy;92385158;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;36;kVarh;09.02.2022;311 kVarh;275 kVarh;I;  MJR. HUBALA 2D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180768;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;40;kVarh;09.02.2022;348 kVarh;308 kVarh;I;BARSKA 12D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180576;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;39;kVarh;09.02.2022;332 kVarh;293 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 19,  33-300 NOWY S¥CZ;Odczyt systemowy;70180581;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;4;kVarh;09.02.2022;38 kVarh;34 kVarh;I;BARSKA 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70180753;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;3;kVarh;09.02.2022;32 kVarh;29 kVarh;I;  MJR. HUBALA 4,  33-300 NOWY S¥CZ;Odczyt systemowy;70180738;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;11;kVarh;09.02.2022;85 kVarh;74 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 44D,  33-300 NOWY S¥CZ;Odczyt systemowy;70178748;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;41;kVarh;09.02.2022;360 kVarh;319 kVarh;I;  MJR. HUBALA 3B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180577;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;5;kVarh;09.02.2022;57 kVarh;52 kVarh;I;BARSKA 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70180575;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;38;kVarh;09.02.2022;328 kVarh;290 kVarh;I;  MJR. HUBALA 8,  33-300 NOWY S¥CZ;Odczyt systemowy;70180583;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;7;kVarh;09.02.2022;51 kVarh;44 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 15B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180578;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;7;kVarh;09.02.2022;441 kVarh;434 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 23,  33-300 NOWY S¥CZ;Odczyt systemowy;95443960;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;6;kVarh;09.02.2022;55 kVarh;49 kVarh;I;  MJR. HUBALA 7,  33-300 NOWY S¥CZ;Odczyt systemowy;70180741;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;41;kVarh;09.02.2022;292 kVarh;251 kVarh;I;  MJR. HUBALA 5D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180740;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 46,  33-300 NOWY S¥CZ;Odczyt systemowy;2040482;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;5;kVarh;09.02.2022;45 kVarh;40 kVarh;I;BARSKA 8,  33-300 NOWY S¥CZ;Odczyt systemowy;70180758;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;14;kVarh;09.02.2022;88 kVarh;74 kVarh;I;  BATALIONÓW CH£OPSKICH 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70301246;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;5;kVarh;09.02.2022;46 kVarh;41 kVarh;I;  BATALIONÓW CH£OPSKICH 16,  33-300 NOWY S¥CZ;Odczyt systemowy;70178616;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;10;kVarh;09.02.2022;145 kVarh;135 kVarh;II;ALEJE MJR. HENRYKA SUCHARSKIEGO 11AB,  33-300 NOWY S¥CZ;Odczyt systemowy;70180582;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;5;kVarh;09.02.2022;147 kVarh;142 kVarh;II;  BATALIONÓW CH£OPSKICH 12,  33-300 NOWY S¥CZ;Odczyt systemowy;70301251;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;11;kVarh;09.02.2022;134 kVarh;123 kVarh;II;  BATALIONÓW CH£OPSKICH 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70301247;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;93;kVarh;09.02.2022;958 kVarh;865 kVarh;II;  PARTYZANTÓW 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70180767;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;93;kVarh;09.02.2022;953 kVarh;860 kVarh;II;  MJR. HUBALA 1B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180757;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;81;kVarh;09.02.2022;846 kVarh;765 kVarh;II;  MJR. HUBALA 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70180574;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;100;kVarh;09.02.2022;973 kVarh;873 kVarh;II;  PARTYZANTÓW 7,  33-300 NOWY S¥CZ;Odczyt systemowy;70180573;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;11;kVarh;09.02.2022;148 kVarh;137 kVarh;II;  PARTYZANTÓW 3,  33-300 NOWY S¥CZ;Odczyt systemowy;70180772;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;93;kVarh;09.02.2022;949 kVarh;856 kVarh;II;ALEJE MJR. HENRYKA SUCHARSKIEGO 1,  33-300 NOWY S¥CZ;Odczyt systemowy;70180770;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;88;kVarh;09.02.2022;924 kVarh;836 kVarh;II;  PARTYZANTÓW 16,  33-300 NOWY S¥CZ;Odczyt systemowy;70180746;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;0;kVarh;09.02.2022;313 kVarh;313 kVarh;II;  WESTERPLATTE 48,  33-300 NOWY S¥CZ;Odczyt systemowy;92385158;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;93;kVarh;09.02.2022;947 kVarh;854 kVarh;II;  MJR. HUBALA 2D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180768;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;101;kVarh;09.02.2022;1056 kVarh;955 kVarh;II;BARSKA 12D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180576;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;100;kVarh;09.02.2022;1005 kVarh;905 kVarh;II;ALEJE MJR. HENRYKA SUCHARSKIEGO 19,  33-300 NOWY S¥CZ;Odczyt systemowy;70180581;5,90322E+17;Energia bierna indukcyjna strefa II
